drug_name,list_of_conditions,inn_name,brand_names,type_of_action
octreotide,acromegaly,octreotide,sandostatin,binder
methotrexate,cancer,methotrexate,rasuvo,modulator
methotrexate,cancer,methotrexate,trexall,modulator
methotrexate,cancer,methotrexate,xatmep,modulator
methotrexate,cancer,methotrexate,metoject,modulator
methotrexate,cancer,methotrexate,otrexup,modulator
methotrexate,cancer,methotrexate,reditrex,modulator
methotrexate,cancer,methotrexate,nordimet,modulator
florbetapir,alzheimer's disease,florbetapir,amyvid,modulator
pramiracetam,attention deficit hyperactivity disorder,pramiracetam,pramistar,modulator
neramexane,alzheimer's disease,neramexane,,antagonist
tarenflurbil,alzheimer's disease,tarenflurbil,flurizan,inhibitor
tarenflurbil,cancer,tarenflurbil,flurizan,inhibitor
tideglusib,alzheimer's disease,tideglusib,zentylor nypta,inhibitor
riluzole,multiple sclerosis,riluzole,tiglutik kit,blocker
riluzole,multiple sclerosis,riluzole,riluzole,blocker
riluzole,multiple sclerosis,riluzole,exservan,blocker
riluzole,multiple sclerosis,riluzole,teglutik,blocker
riluzole,multiple sclerosis,riluzole,rilutek,blocker
desflurane,anesthetic,desflurane,suprane,antagonist
tetracaine,anesthetic,tetracaine,dicaine,inhibitor
tetracaine,analgesic,tetracaine,dicaine,inhibitor
tetracaine,anesthetic,tetracaine,medihaler-tetracaine,inhibitor
tetracaine,analgesic,tetracaine,medihaler-tetracaine,inhibitor
tetracaine,anesthetic,tetracaine,metraspray,inhibitor
tetracaine,analgesic,tetracaine,metraspray,inhibitor
tetracaine,anesthetic,tetracaine,pontocaine,inhibitor
tetracaine,analgesic,tetracaine,pontocaine,inhibitor
tetracaine,anesthetic,tetracaine,ametop,inhibitor
tetracaine,analgesic,tetracaine,ametop,inhibitor
remifentanil,anesthetic,remifentanil,,agonist
trifluoperazine,depression,trifluoperazine,stelazine,inhibitor
trifluoperazine,anxiety,trifluoperazine,stelazine,inhibitor
trifluoperazine,depression,trifluoperazine,amylozine,inhibitor
trifluoperazine,anxiety,trifluoperazine,amylozine,inhibitor
